Hours_Studied,Attendance,Previous_Scores,Tutoring_Sessions,Sleep_Hours,Motivation_Level,Teacher_Quality,School_Type,Internet_Access,Family_Income,Parental_Involvement,Parental_Education_Level,Distance_from_Home,Physical_Activity,Peer_Influence,Access_to_Resources,Extracurricular_Activities,Health,Study_Environment,Exam_Score
7,53,58,3,8,high,Poor,Public,No,Medium,High,,28.0,1,Positive,Low,Yes,1,Average,65
4,53,99,1,8,LOW,Average,Private,Yes,Low,High,School,,2,Neutral,Low,Yes,2,Good,75
60,55,88,2,9,Medium,Poor,Private,No,Low,Medium,School,,3,Neutral,Low,No,4,Poor,95
8,46,93,2,20,High,Good,Private,Yes,Medium,Low,Graduate,3.0,3,Negative,Low,No,2,Poor,95
5,71,53,0,5,High,Good,Private,No,Medium,Medium,Postgraduate,20.0,4,Positive,High,Yes,1,Poor,64
7,58,45,2,4,Medium,Poor,Private,Yes,Medium,Low,Postgraduate,4.0,6,Neutral,Medium,No,2,Poor,57
10,41,81,4,7,Medium,Poor,Private,Yes,High,Low,School,13.0,5,Positive,Low,Yes,1,Poor,74
3,49,35,1,6,High,Average,Public,Yes,High,Medium,Postgraduate,,3,Positive,Medium,Yes,5,Poor,46
7,89,66,3,7,High,Good,Private,Yes,Medium,Low,School,20.0,2,Positive,Medium,Yes,4,Poor,84
11,56,33,3,8,Medium,Average,Public,Yes,Medium,Medium,School,27.0,4,Positive,High,No,1,Good,60
11,76,67,4,7,Low,Good,Public,No,High,Low,Postgraduate,8.0,5,Positive,Medium,Yes,3,Good,87
8,51,70,2,9,Low,Average,Public,Yes,Medium,Medium,School,2.0,0,Negative,Low,No,3,Good,73
5,45,43,1,4,Medium,Average,Public,No,Low,Medium,Graduate,,4,Negative,Medium,No,4,Average,44
4,61,80,2,7,Low,Good,Public,Yes,Medium,High,Postgraduate,2.0,3,Neutral,Low,Yes,4,Poor,73
8,71,94,0,6,High,Average,Public,Yes,High,High,Postgraduate,21.0,1,Positive,Low,No,3,Good,90
8,80,81,2,8,Low,Good,Private,Yes,Medium,Low,School,6.0,4,Positive,Low,Yes,5,Average,85
3,59,59,0,3,Medium,Poor,Public,Yes,Medium,Medium,Postgraduate,20.0,2,Neutral,Medium,No,5,Average,54
6,40,86,3,8,Low,Average,Public,Yes,Low,Medium,Postgraduate,28.0,5,Positive,High,Yes,1,Poor,69
5,93,59,1,3,Low,Good,Public,Yes,Medium,Medium,Graduate,7.0,4,Neutral,Medium,Yes,4,Average,71
2,86,71,0,6,Low,Good,Private,Yes,High,Medium,Graduate,26.0,3,Negative,High,Yes,3,Good,77
8,92,40,2,8,High,Average,Public,Yes,High,Medium,Postgraduate,4.0,4,Positive,High,No,4,Poor,71
6,97,56,2,8,High,Good,Public,Yes,Low,Low,School,,2,Positive,High,Yes,3,Good,84
2,45,53,3,8,High,Average,Private,No,Low,High,Graduate,18.0,2,Positive,Medium,Yes,3,Good,53
5,58,68,4,8,Medium,Average,Private,No,High,Medium,,10.0,3,Positive,High,Yes,1,Average,66
1,57,47,4,4,Low,Poor,Private,No,Medium,Medium,Graduate,20.0,6,Positive,High,Yes,4,Poor,50
10,45,74,2,5,High,Poor,Public,Yes,High,Medium,School,11.0,2,Negative,High,No,5,Average,76
6,84,41,4,8,High,Poor,Private,No,Low,Low,Postgraduate,7.0,3,Positive,Low,No,4,Average,73
9,72,78,1,4,Low,Average,Private,Yes,High,High,Postgraduate,,4,Positive,High,No,3,Good,82
1,62,60,4,6,Medium,Average,Private,Yes,Low,High,Graduate,26.0,4,Neutral,Low,No,5,Good,55
11,62,51,1,8,Low,Good,Public,Yes,High,Medium,Postgraduate,11.0,0,Negative,High,Yes,3,Average,73
11,65,73,2,7,Medium,,Private,No,Medium,Low,Graduate,18.0,3,Positive,Medium,Yes,4,Good,83
10,52,93,2,8,Low,Poor,Public,No,Medium,High,Graduate,16.0,1,Positive,Low,No,3,Average,81
3,46,54,2,9,High,Good,Public,Yes,Low,High,School,19.0,3,Negative,High,Yes,2,Poor,55
7,54,80,3,8,High,Poor,Private,Yes,Medium,Low,School,20.0,4,Neutral,Medium,No,5,Good,72
4,83,36,4,3,High,Poor,Public,No,Low,High,Graduate,5.0,5,Negative,Low,Yes,1,Good,57
9,66,35,0,7,Medium,Poor,Public,No,Medium,Low,School,7.0,4,Negative,Medium,Yes,2,Average,59
3,65,53,0,8,Low,Good,Public,No,High,High,School,3.0,2,Neutral,High,No,3,Average,63
5,72,48,2,8,Medium,Poor,Private,No,Medium,Low,School,25.0,0,Negative,High,Yes,4,Good,63
3,54,38,4,8,High,Average,Public,No,High,Medium,Postgraduate,10.0,1,Neutral,High,Yes,3,Poor,49
7,75,65,1,4,Medium,Poor,Private,No,Low,High,Postgraduate,,6,Neutral,High,Yes,1,Good,69
5,84,69,0,6,Medium,Average,Public,No,Medium,High,School,5.0,0,Positive,Low,No,4,Average,78
9,94,53,2,3,Medium,Poor,Private,No,Medium,High,Postgraduate,29.0,3,Positive,Low,Yes,5,Poor,79
7,66,77,0,8,Low,Average,Public,No,High,Low,Graduate,5.0,5,Negative,Low,Yes,5,Poor,80
2,96,92,0,6,Medium,Poor,Public,Yes,Low,High,Graduate,23.0,3,Positive,High,No,3,Poor,82
4,44,98,0,3,Medium,,Private,Yes,Medium,High,,22.0,4,Neutral,High,Yes,2,Average,70
9,41,82,2,3,Medium,Average,Public,Yes,Low,Low,School,11.0,2,Neutral,Medium,Yes,4,Good,70
2,94,83,2,9,High,Poor,Private,Yes,Low,High,Postgraduate,19.0,1,Negative,Medium,Yes,2,Good,83
10,97,71,3,3,High,,Private,No,Medium,High,School,,6,Negative,Low,No,3,Poor,92
9,72,74,3,8,Low,Poor,Public,Yes,High,Low,School,17.0,5,Positive,High,No,4,Good,77
10,55,43,3,4,High,Good,Private,Yes,Low,Low,Graduate,22.0,2,Negative,High,Yes,5,Average,66
